Date,BTC_USD,BTC_EUR,BTC_GBP,BTC_JPY,BTC_CAD,BTC_AUD,BTC_CHF,BTC_CNY,BTC_INR,BTC_BRL,BTC_KRW,BTC_MXN
2025-10-27,114387.0,98452.89,85221.74,17014951.0,156950.4,175652.67,91609.12,820966.96,9851580.38,639789.39,159088300.0,2142354.13
2025-10-26,111639.0,96087.69,83174.4,16606189.0,153179.87,171432.84,89408.33,801244.29,9614908.88,624419.28,155266409.0,2090886.84
2025-10-25,111055.0,95585.04,82739.31,16519319.0,152378.57,170536.05,88940.62,797052.86,9564611.88,621152.85,154454188.0,2079949.11
2025-10-24,110124.0,94783.73,82045.68,16380834.0,151101.14,169106.41,88195.01,790370.98,9484429.5,615945.58,153159362.0,2062512.41
2025-10-23,107527.0,92548.49,80110.84,15994533.0,147537.8,165118.46,86115.15,771732.05,9260762.88,601420.04,149547481.0,2013873.19
2025-10-22,108323.0,93233.61,80703.88,16112937.0,148629.99,166340.79,86752.64,777445.02,9329318.38,605872.23,150654549.0,2028781.48
2025-10-21,110536.0,95138.34,82352.63,16442119.0,151666.45,169739.08,88524.97,793327.95,9519913.0,618249.98,153732368.0,2070228.75
2025-10-20,108636.0,93503.01,80937.08,16159496.0,149059.46,166821.44,87003.31,779691.46,9356275.5,607622.9,151089867.0,2034643.65
2025-10-19,107227.0,92290.28,79887.33,15949908.0,147126.17,164657.78,85874.89,769578.92,9234925.38,599742.08,149130244.0,2008254.49
2025-10-18,106474.0,91642.17,79326.32,15837900.0,146092.97,163501.47,85271.83,764174.56,9170073.25,595530.4,148082979.0,1994151.56
2025-10-17,108127.0,93064.91,80557.86,16083782.0,148361.06,166039.82,86595.67,776038.31,9312437.88,604775.96,150381955.0,2025110.59
2025-10-16,110868.0,95424.09,82599.98,16491503.0,152121.98,170248.89,88790.86,795710.74,9548506.5,620106.92,154194110.0,2076446.78
2025-10-15,113081.0,97328.82,84248.74,16820685.0,155158.44,173647.18,90563.18,811593.67,9739101.12,632484.67,157271928.0,2117894.06
2025-10-14,115239.0,99186.21,85856.51,17141685.0,158119.43,176961.0,92291.46,827081.85,9924958.88,644554.8,160273253.0,2158311.24
2025-10-13,114992.0,98973.62,85672.49,17104944.0,157780.52,176581.71,92093.64,825309.1,9903686.0,643173.28,159929728.0,2153685.18
2025-10-12,110748.0,95320.8,82510.58,16473653.0,151957.33,170064.62,88694.75,794849.49,9538171.5,619435.74,154027215.0,2074199.3
2025-10-11,112725.0,97022.41,83983.51,16767730.0,154669.97,173100.5,90278.07,809038.62,9708440.62,630493.49,156776807.0,2111226.54
2025-10-10,121712.0,104757.52,90679.09,18104537.0,167001.03,186900.94,97475.49,873539.22,10482446.0,680759.58,169275837.0,2279544.06
2025-10-09,123374.0,106188.0,91917.33,18351758.0,169281.46,189453.11,98806.54,885467.56,10625585.75,690055.48,171587330.0,2310671.66
